,x,y,z
1192050,320143.75,6398172.75,70.3465
1192051,320143.25,6398171.5,70.3002
1192052,320144.0,6398171.75,70.4077
1192053,320143.75,6398166.25,70.4987
1192054,320144.0,6398165.25,70.56
1192055,320144.25,6398164.25,70.6212
1192056,320144.5,6398163.25,70.6824
1192057,320144.75,6398165.5,70.6674
1192058,320145.5,6398165.75,70.7748
1192059,320145.25,6398166.75,70.7137
1192060,320144.75,6398162.25,70.7435
1192061,320145.0,6398161.25,70.8047
1192062,320145.25,6398160.25,70.866
1192063,320145.5,6398159.25,70.9272
1192064,320145.75,6398161.5,70.9122
1192065,320146.5,6398161.75,71.0197
1192066,320146.25,6398162.75,70.9585
1192067,320146.75,6398164.0,71.0047
1192068,320147.5,6398164.25,71.1122
1192069,320147.25,6398165.25,71.0509
1192070,320147.75,6398166.5,71.0972
1192071,320148.5,6398166.75,71.2047
1192072,320148.25,6398167.75,71.1434
1192073,320147.0,6398166.25,70.9897
1192074,320146.75,6398167.25,70.9285
1192075,320146.25,6398166.0,70.8823
1192076,320145.25,6398163.5,70.7898
1192077,320146.0,6398163.75,70.8972
1192078,320145.75,6398164.75,70.836
1192079,320146.75,6398173.75,70.7762
1192080,320146.25,6398172.5,70.73
1192081,320145.75,6398171.25,70.6837
1192082,320147.0,6398172.75,70.8374
1192083,320147.25,6398171.75,70.8987
1192084,320145.25,6398170.0,70.6375
1192085,320144.75,6398168.75,70.5912
1192086,320144.25,6398167.5,70.545
1192087,320145.0,6398167.75,70.6525
1192088,320145.75,6398168.0,70.7599
1192089,320146.5,6398168.25,70.8674
1192090,320147.25,6398168.5,70.9748
1192091,320148.0,6398168.75,71.0822
1192092,320147.75,6398169.75,71.0211
1192093,320147.5,6398170.75,70.9599
1192094,320146.0,6398170.25,70.7449
1192095,320146.25,6398169.25,70.8062
1192096,320146.75,6398170.5,70.8524
1192218,320148.875,6398178.630004883,70.7303
1192220,320148.375,6398177.130004883,70.8584
1192221,320147.625,6398176.880004883,70.7509
1192241,320148.625,6398183.880004883,69.8951
1192242,320147.875,6398183.630004883,69.7877
1192243,320148.0,6398183.0,69.9055
1192244,320147.375,6398182.130004883,69.9159
1192245,320146.625,6398181.880004883,69.8084
1192246,320146.75,6398181.25,69.9263
1192247,320148.125,6398182.380004883,70.0233
1192248,320148.25,6398181.75,70.1411
1192249,320148.875,6398182.630004883,70.1308
1192253,320146.125,6398180.380004883,69.9366
1192254,320145.375,6398180.130004883,69.8292
1192255,320145.5,6398179.5,69.947
1192256,320144.875,6398178.630004883,69.9574
1192257,320144.125,6398178.380004883,69.8499
1192258,320144.25,6398177.75,69.9677
1192259,320145.625,6398178.880004883,70.0648
1192260,320145.75,6398178.25,70.1826
1192261,320146.375,6398179.130004883,70.1723
1192262,320143.625,6398176.880004883,69.9781
1192263,320142.875,6398176.630004883,69.8707
1192264,320143.0,6398176.0,69.9885
1192265,320142.375,6398175.130004883,69.9989
1192266,320141.625,6398174.880004883,69.8914
1192267,320143.125,6398175.380004883,70.1063
1192268,320143.875,6398175.630004883,70.2138
1192269,320144.625,6398175.880004883,70.3212
1192270,320145.375,6398176.130004883,70.4286
1192271,320146.125,6398176.380004883,70.5361
1192272,320146.875,6398176.630004883,70.6435
1192273,320146.0,6398177.0,70.4183
1192274,320146.625,6398177.880004883,70.4079
1192275,320145.875,6398177.630004883,70.3005
1192276,320144.375,6398177.130004883,70.0856
1192277,320144.5,6398176.5,70.2034
1192278,320145.125,6398177.380004883,70.193
1192284,320148.375,6398181.130004883,70.259
1192285,320147.625,6398180.880004883,70.1515
1192286,320146.875,6398180.630004883,70.0441
1192287,320147.0,6398180.0,70.1619
1192288,320147.125,6398179.380004883,70.2797
1192289,320147.25,6398178.75,70.3976
1192290,320147.375,6398178.130004883,70.5154
1192291,320147.5,6398177.5,70.6331
1192292,320148.125,6398178.380004883,70.6228
1192293,320148.75,6398179.25,70.6125
1192294,320148.5,6398180.5,70.3768
1192295,320147.875,6398179.630004883,70.3872
1192296,320148.625,6398179.880004883,70.4946
1192297,320141.75,6398176.0,69.8771
1192298,320142.375,6398176.880004883,69.8667
1192299,320143.0,6398177.75,69.8564
1192300,320141.875,6398177.130004883,69.8628
1192301,320142.0,6398178.25,69.8484
1192302,320143.625,6398178.630004883,69.846
1192303,320144.25,6398179.5,69.8356
1192304,320144.875,6398180.380004883,69.8252
1192305,320145.5,6398181.25,69.8148
1192306,320144.375,6398180.630004883,69.8213
1192307,320144.5,6398181.75,69.8069
1192308,320143.875,6398180.880004883,69.8173
1192309,320143.375,6398181.130004883,69.8134
1192310,320143.5,6398182.25,69.7991
1192311,320142.875,6398181.380004883,69.8094
1192312,320142.375,6398181.630004883,69.8055
1192313,320142.5,6398182.75,69.7912
1192314,320142.25,6398180.5,69.8198
1192315,320142.125,6398179.380004883,69.8341
1192316,320143.125,6398178.880004883,69.842
1192317,320143.25,6398180.0,69.8277
1192318,320142.625,6398179.130004883,69.8381
1192319,320146.125,6398182.130004883,69.8045
1192320,320146.75,6398183.0,69.7941
1192321,320147.375,6398183.880004883,69.7837
1192322,320148.0,6398184.75,69.7733
1192323,320146.875,6398184.130004883,69.7798
1192324,320147.0,6398185.25,69.7654
1192325,320146.375,6398184.380004883,69.7758
1192326,320148.625,6398185.630004883,69.763
1192332,320148.875,6398187.880004883,69.7343
1192333,320148.375,6398188.130004883,69.7304
1192334,320148.5,6398189.25,69.7161
1192335,320147.875,6398188.380004883,69.7265
1192336,320147.375,6398188.630004883,69.7225
1192337,320147.5,6398189.75,69.7082
1192338,320146.875,6398188.880004883,69.7186
1192339,320147.25,6398187.5,69.7368
1192340,320146.625,6398186.630004883,69.7472
1192341,320147.125,6398186.380004883,69.7511
1192342,320148.125,6398185.880004883,69.759
1192343,320148.25,6398187.0,69.7447
1192344,320147.625,6398186.130004883,69.7551
1192345,320146.375,6398189.130004883,69.7146
1192346,320146.5,6398190.25,69.7003
1192347,320145.875,6398189.380004883,69.7107
1192348,320145.375,6398189.630004883,69.7067
1192349,320145.5,6398190.75,69.6924
1192350,320144.875,6398189.880004883,69.7028
1192351,320145.25,6398188.5,69.7211
1192352,320144.625,6398187.630004883,69.7314
1192353,320145.125,6398187.380004883,69.7354
1192354,320144.375,6398190.130004883,69.6989
1192355,320144.5,6398191.25,69.6846
1192356,320143.875,6398190.380004883,69.6949
1192357,320143.375,6398190.630004883,69.6909
1192358,320143.5,6398191.75,69.6767
1192359,320143.25,6398189.5,69.7052
1192360,320143.125,6398188.380004883,69.7195
1192361,320143.0,6398187.25,69.7338
1192362,320142.875,6398186.130004883,69.7482
1192363,320142.75,6398185.0,69.7625
1192364,320142.625,6398183.880004883,69.7768
1192365,320143.375,6398185.880004883,69.7521
1192366,320143.875,6398185.630004883,69.7561
