in:Octopus slider,out:Heating (kWh),out:LCA (C02e/m2),out:LCC (SEK/m2),img
194,106.224,6.173123,1277.160524,Octopusslider194.png
195,104.722,7.99668,1433.223281,Octopusslider195.png
196,97.741,7.236684,1210.695802,Octopusslider196.png
197,87.59,13.946336,1394.342452,Octopusslider197.png
198,90.625,9.676813,1199.544731,Octopusslider198.png
199,88.845,11.500079,1353.123461,Octopusslider199.png
200,97.745,6.076688,1246.331544,Octopusslider200.png
201,87.59,12.786336,1429.942452,Octopusslider201.png
202,90.625,8.516813,1235.144731,Octopusslider202.png
203,88.845,10.340079,1388.723461,Octopusslider203.png
204,111.818,5.01807,1317.678666,Octopusslider204.png
205,103.2,11.729325,1515.0232,Octopusslider205.png
206,105.766,7.459311,1316.034802,Octopusslider206.png
207,104.26,9.282864,1472.061818,Octopusslider207.png
208,97.283,8.522871,1249.570081,Octopusslider208.png
209,87.115,15.232506,1433.064829,Octopusslider209.png
210,90.156,10.962989,1238.32072,Octopusslider210.png
211,88.372,12.786251,1391.86371,Octopusslider211.png
212,97.287,7.362876,1285.205822,Octopusslider212.png
213,87.115,14.072506,1468.664829,Octopusslider213.png
214,90.156,9.802989,1273.92072,Octopusslider214.png
215,88.372,11.626251,1427.46371,Octopusslider215.png
216,111.799,5.551383,1417.608894,Octopusslider216.png
217,103.181,12.262638,1614.953429,Octopusslider217.png
218,105.747,7.992625,1415.96503,Octopusslider218.png
219,104.241,9.816177,1571.992046,Octopusslider219.png
220,97.262,9.056183,1349.482438,Octopusslider220.png
221,87.094,15.765818,1532.977187,Octopusslider221.png
222,90.136,11.496301,1338.242013,Octopusslider222.png
223,88.353,13.319564,1491.793938,Octopusslider223.png
224,97.268,7.896189,1385.13605,Octopusslider224.png
225,87.094,14.605818,1568.577187,Octopusslider225.png
226,90.136,10.336301,1373.842013,Octopusslider226.png
227,88.353,12.159564,1527.393938,Octopusslider227.png
228,111.822,5.17474,1344.981074,Octopusslider228.png
229,103.206,11.885998,1542.343479,Octopusslider229.png
230,105.77,7.615982,1343.33721,Octopusslider230.png
231,104.266,9.439537,1499.382096,Octopusslider231.png
232,97.287,8.679542,1276.872489,Octopusslider232.png
233,87.119,15.389177,1460.367237,Octopusslider233.png
234,90.16,11.11966,1265.623128,Octopusslider234.png
235,88.378,12.942924,1419.183988,Octopusslider235.png
236,97.293,7.519549,1312.526101,Octopusslider236.png
237,87.119,14.229177,1495.967237,Octopusslider237.png
238,90.16,9.95966,1301.223128,Octopusslider238.png
239,88.378,11.782924,1454.783988,Octopusslider239.png
