x,y,value
23.536721,466.346481,975.766759
23.536721,476.364685,975.766759
23.536721,486.382874,975.766759
23.536721,496.401077,975.766759
23.536721,506.419281,975.766759
23.536721,516.437485,974.975627
23.536721,526.455688,974.285575
23.536721,536.473877,975.076707
23.536721,546.492065,974.441262
23.536721,556.510254,973.48062
23.536721,566.528473,972.063798
23.536721,576.546692,973.058587
23.536721,586.56488,972.034468
23.536721,596.583069,970.383775
23.536721,606.601257,971.407894
23.536721,616.619446,971.407894
23.536721,626.637665,969.293881
23.536721,636.655884,969.293881
23.536721,646.674072,971.407894
23.536721,656.692261,969.108456
23.536721,666.710449,966.207708
23.536721,676.728638,958.504974
23.536721,686.746857,951.89779
23.536721,696.765076,945.200131
23.536721,706.783264,925.93972
23.536721,716.801453,909.682335
23.536721,726.819641,877.648861
23.536721,736.83783,820.266616
23.536721,746.856049,784.952864
23.536721,756.874268,791.905417
23.536721,766.892456,857.376054
23.536721,776.910645,940.093357
23.536721,786.928833,959.888454
23.536721,796.947021,965.194409
23.536721,806.96524,964.518191
23.536721,816.983459,961.979829
23.536721,827.001648,958.958059
23.536721,837.019836,960.693809
23.536721,847.038025,953.327758
23.536721,857.056244,942.237547
23.536721,867.074463,939.292892
23.536721,877.092651,918.833017
23.536721,887.11084,891.206823
23.536721,897.129028,884.622759
23.536721,907.147217,931.437583
23.536721,917.165436,940.395395
23.536721,927.183655,950.910302
23.536721,937.201843,936.600107
23.536721,947.220032,915.475716
23.536721,957.23822,880.039133
23.536721,967.256409,886.922959
23.536721,977.274628,918.409275
23.536721,987.292847,924.912549
23.536721,997.311035,931.456048
23.536721,1007.329224,935.289846
23.536721,1017.347412,931.099772
23.536721,1027.365631,936.288571
23.536721,1037.38385,925.159029
23.536721,1047.402039,915.425131
23.536721,1057.420227,902.503417
23.536721,1067.438416,904.324951
23.536721,1077.456604,949.879482
23.536721,1087.474792,956.361591
23.536721,1097.492981,960.798914
23.536721,1107.511169,957.581891
23.536721,1117.529358,940.110793
23.536721,1127.547607,878.129249
23.536721,1137.565857,859.707485
23.536721,1147.584045,904.501923
23.536721,1157.602234,879.649263
23.536721,1167.620422,840.547001
23.536721,1177.638611,889.100271
23.536721,1187.656799,936.506952
23.536721,1197.674988,940.305143
23.536721,1207.693176,943.347603
23.536721,1217.711365,957.255498
23.536721,1227.729553,955.895959
23.536721,1237.747742,956.43042
23.536721,1247.765991,962.756803
23.536721,1257.784241,956.293864
23.536721,1267.802429,956.940333
23.536721,1277.820618,957.787915
23.536721,1287.838806,955.048244
23.536721,1297.856995,938.750276
23.536721,1307.875183,915.057746
23.536721,1317.893372,868.046504
23.536721,1327.91156,892.773875
23.536721,1337.929749,926.414608
23.536721,1347.947937,930.979997
23.536721,1357.966187,935.801998
23.536721,1367.984436,955.044218
23.536721,1378.002625,955.440178
23.536721,1388.020813,958.916084
23.536721,1398.039001,964.788398
23.536721,1408.05719,966.082881
23.536721,1418.075378,964.357542
23.536721,1428.093567,962.554735
23.536721,1438.111755,962.554735
23.536721,1448.129944,961.919289
23.536721,1458.148132,964.538506
23.536721,1468.166321,967.221009
23.536721,1478.18457,964.751788
23.536721,1488.20282,964.286545
23.536721,1498.221008,965.46512
23.536721,1508.239197,968.084337
23.536721,1518.257385,968.033889
23.536721,1528.275574,965.713707
23.536721,1538.293762,963.357465
23.536721,1548.311951,962.522594
23.536721,1558.330139,960.665609
23.536721,1568.348328,953.037451
23.536721,1578.366516,943.010209
23.536721,1588.384705,852.563427
23.536721,1598.402954,767.025836
23.536721,1608.421204,743.166081
23.536721,1618.439392,790.723704
23.536721,1628.457581,810.663797
23.536721,1638.475769,696.679885
23.536721,1648.493958,652.647556
