time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050405:0910,603.24,553.18,191.53,20.65,45.44,13.22,0.34,0.0
20050405:1010,538.5,520.72,139.24,23.49,48.92,14.2,0.34,0.0
20050405:1110,389.41,353.98,126.66,23.46,48.5,14.98,0.21,0.0
20050405:1210,194.08,182.67,86.86,22.46,44.29,15.53,0.55,0.0
20050405:1310,92.28,0.0,122.57,4.63,37.26,15.82,1.1,0.0
20050405:1410,73.48,0.0,100.85,3.81,28.45,15.79,1.52,0.0
20050405:1510,61.63,0.0,86.89,3.28,18.68,15.33,1.93,0.0
20050405:1610,33.75,0.0,53.53,2.02,8.49,14.21,1.66,0.0
20050405:1710,0.0,0.0,0.0,0.0,0.0,12.32,1.45,0.0
20050405:1810,0.0,0.0,0.0,0.0,0.0,11.52,0.0,0.0
20050405:1910,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0
20050405:2010,0.0,0.0,0.0,0.0,0.0,10.45,1.38,0.0
20050405:2110,0.0,0.0,0.0,0.0,0.0,6.54,2.07,0.0
20050405:2210,0.0,0.0,0.0,0.0,0.0,4.75,2.28,0.0
20050405:2310,0.0,0.0,0.0,0.0,0.0,3.68,2.28,0.0
20050406:0010,0.0,0.0,0.0,0.0,0.0,2.93,2.21,0.0
20050406:0110,0.0,0.0,0.0,0.0,0.0,2.41,2.14,0.0
20050406:0210,0.0,0.0,0.0,0.0,0.0,1.97,2.14,0.0
20050406:0310,0.0,0.0,0.0,0.0,0.0,1.57,2.14,0.0
20050406:0410,0.0,0.0,0.0,0.0,0.0,1.27,2.14,0.0
20050406:0510,10.23,0.0,22.17,0.76,10.96,2.02,1.93,0.0
20050406:0610,492.54,427.92,144.68,7.88,21.1,6.72,1.24,0.0
20050406:0710,599.68,544.43,181.53,12.98,30.74,12.11,1.24,0.0
20050406:0810,650.42,616.29,182.46,17.75,39.26,13.84,1.31,0.0
20050406:0910,614.01,569.17,185.47,20.97,45.82,14.93,1.1,0.0
20050406:1010,543.03,525.14,139.01,23.7,49.3,15.81,0.97,0.0
20050406:1110,392.59,357.7,126.42,23.67,48.86,16.43,0.83,0.0
20050406:1210,197.97,180.56,93.51,22.44,44.61,16.84,0.9,0.0
20050406:1310,87.01,0.0,117.14,4.42,37.53,16.99,0.97,0.0
20050406:1410,78.35,0.0,107.06,4.04,28.7,16.86,0.97,0.0
20050406:1510,60.49,0.0,86.11,3.25,18.91,16.51,0.83,0.0
20050406:1610,32.89,0.0,52.75,1.99,8.72,15.25,0.48,0.0
20050406:1710,0.0,0.0,0.0,0.0,0.0,15.06,0.34,0.0
20050406:1810,0.0,0.0,0.0,0.0,0.0,13.53,0.97,0.0
20050406:1910,0.0,0.0,0.0,0.0,0.0,15.33,0.69,0.0
20050406:2010,0.0,0.0,0.0,0.0,0.0,10.55,1.79,0.0
20050406:2110,0.0,0.0,0.0,0.0,0.0,6.55,2.48,0.0
20050406:2210,0.0,0.0,0.0,0.0,0.0,4.52,2.28,0.0
20050406:2310,0.0,0.0,0.0,0.0,0.0,3.44,2.21,0.0
20050407:0010,0.0,0.0,0.0,0.0,0.0,3.41,2.34,0.0
20050407:0110,0.0,0.0,0.0,0.0,0.0,3.59,2.48,0.0
20050407:0210,0.0,0.0,0.0,0.0,0.0,3.57,2.55,0.0
20050407:0310,0.0,0.0,0.0,0.0,0.0,3.45,2.55,0.0
20050407:0410,0.0,0.0,0.0,0.0,0.0,3.27,2.55,0.0
20050407:0510,182.08,144.48,68.26,2.52,11.28,3.88,2.34,0.0
20050407:0610,430.04,339.39,158.3,7.47,21.43,7.92,1.79,0.0
20050407:0710,609.26,558.19,179.47,13.21,31.08,13.29,1.72,0.0
20050407:0810,656.2,618.68,183.2,17.9,39.62,15.27,2.14,0.0
20050407:0910,623.73,572.45,185.18,21.12,46.2,16.38,2.48,0.0
20050407:1010,550.19,520.75,143.45,23.72,49.68,17.14,2.55,0.0
20050407:1110,398.06,354.73,130.6,23.67,49.22,17.67,2.76,0.0
20050407:1210,207.19,171.23,110.6,22.08,44.93,18.04,3.03,0.0
20050407:1310,99.06,0.0,131.11,4.95,37.81,18.13,3.24,0.0
20050407:1410,82.3,0.0,111.71,4.22,28.95,17.9,3.24,0.0
20050407:1510,55.8,0.0,80.68,3.05,19.14,17.35,2.62,0.0
