time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050629:1110,469.49,467.85,120.78,27.68,65.29,26.95,2.76,0.0
20050629:1210,305.57,306.95,90.89,26.74,59.5,27.6,2.97,0.0
20050629:1310,173.91,84.83,162.07,21.5,50.88,27.94,3.24,0.0
20050629:1410,135.29,0.0,179.98,6.8,41.05,27.86,3.52,0.0
20050629:1510,75.32,0.0,107.83,4.07,30.82,27.32,3.38,0.0
20050629:1610,83.13,0.0,117.14,4.42,20.66,26.76,2.34,0.0
20050629:1710,35.45,0.0,58.18,2.2,10.89,25.65,2.0,0.0
20050629:1810,0.0,0.0,3.88,0.15,1.81,24.27,2.0,0.0
20050629:1910,0.0,0.0,0.0,0.0,0.0,23.29,2.21,0.0
20050629:2010,0.0,0.0,0.0,0.0,0.0,22.47,2.21,0.0
20050629:2110,0.0,0.0,0.0,0.0,0.0,21.96,2.14,0.0
20050629:2210,0.0,0.0,0.0,0.0,0.0,21.3,2.0,0.0
20050629:2310,0.0,0.0,0.0,0.0,0.0,20.66,1.38,0.0
20050630:0010,0.0,0.0,0.0,0.0,0.0,20.57,0.76,0.0
20050630:0110,0.0,0.0,0.0,0.0,0.0,20.26,0.48,0.0
20050630:0210,0.0,0.0,0.0,0.0,0.0,19.9,0.14,0.0
20050630:0310,0.0,0.0,0.0,0.0,0.0,18.02,1.1,0.0
20050630:0410,1.24,0.0,8.53,0.29,12.8,18.42,1.38,0.0
20050630:0510,28.12,0.0,47.75,1.64,22.68,19.56,1.17,0.0
20050630:0610,17.58,0.0,34.11,1.17,32.89,20.89,1.31,0.0
20050630:0710,101.29,0.0,136.44,4.69,43.07,21.68,1.93,0.0
20050630:0810,299.42,59.35,311.18,11.83,52.74,22.78,2.83,0.0
20050630:0910,450.87,185.93,372.22,17.6,60.94,23.37,2.9,0.0
20050630:1010,311.65,32.04,355.97,13.36,65.84,23.6,2.55,0.0
20050630:1110,86.87,0.0,120.24,4.13,65.25,23.23,2.07,0.0
20050630:1210,129.63,0.0,169.7,5.83,59.48,21.82,2.07,0.0
20050630:1310,47.5,0.0,72.48,2.49,50.87,21.6,0.41,0.0
20050630:1410,56.05,0.0,83.01,3.13,41.04,22.62,0.41,0.0
20050630:1510,96.79,0.0,131.88,4.98,30.82,22.99,0.69,0.0
20050630:1610,59.75,0.0,87.66,3.31,20.66,23.37,1.1,0.0
20050630:1710,38.97,0.0,62.06,2.34,10.88,23.09,1.03,0.0
20050630:1810,0.0,0.0,5.43,0.21,1.79,21.93,1.52,0.0
20050630:1910,0.0,0.0,0.0,0.0,0.0,20.28,1.03,0.0
20050630:2010,0.0,0.0,0.0,0.0,0.0,19.65,0.97,0.0
20050630:2110,0.0,0.0,0.0,0.0,0.0,18.28,1.38,0.0
20050630:2210,0.0,0.0,0.0,0.0,0.0,17.27,1.59,0.0
20050630:2310,0.0,0.0,0.0,0.0,0.0,17.05,1.45,0.0
20050701:0010,0.0,0.0,0.0,0.0,0.0,16.53,1.66,0.0
20050701:0110,0.0,0.0,0.0,0.0,0.0,16.45,1.66,0.0
20050701:0210,0.0,0.0,0.0,0.0,0.0,16.17,1.79,0.0
20050701:0310,0.0,0.0,0.0,0.0,0.0,16.11,1.86,0.0
20050701:0410,64.92,32.79,58.64,2.08,12.72,16.82,1.66,0.0
20050701:0510,377.75,304.42,155.93,7.29,22.61,18.62,1.52,0.0
20050701:0610,387.16,245.32,229.7,10.25,32.81,20.32,1.72,0.0
20050701:0710,268.78,68.09,263.2,9.99,43.0,20.65,2.14,0.0
20050701:0810,477.71,253.12,338.09,16.52,52.66,21.75,2.21,0.0
20050701:0910,597.88,475.5,278.22,22.61,60.87,22.46,1.86,0.0
20050701:1010,473.25,227.6,365.62,20.62,65.77,23.26,1.59,0.0
20050701:1110,450.69,319.19,245.46,24.52,65.2,23.82,1.52,0.0
20050701:1210,310.51,266.68,132.95,25.31,59.45,24.36,1.59,0.0
20050701:1310,218.53,58.43,234.28,19.3,50.85,24.73,1.17,0.0
20050701:1410,148.51,0.0,194.72,7.35,41.03,25.07,1.03,0.0
20050701:1510,147.94,0.0,193.94,7.32,30.81,24.97,1.03,0.0
20050701:1610,101.6,0.0,138.09,5.21,20.64,24.32,1.52,0.0
20050701:1710,37.69,0.0,60.51,2.28,10.86,23.44,1.52,0.0
20050701:1810,1.96,0.0,10.09,0.38,1.77,22.23,1.17,0.0
20050701:1910,0.0,0.0,0.0,0.0,0.0,21.1,1.45,0.0
20050701:2010,0.0,0.0,0.0,0.0,0.0,19.88,1.59,0.0
20050701:2110,0.0,0.0,0.0,0.0,0.0,18.78,1.52,0.0
20050701:2210,0.0,0.0,0.0,0.0,0.0,18.1,1.45,0.0
20050701:2310,0.0,0.0,0.0,0.0,0.0,17.59,1.38,0.0
20050702:0010,0.0,0.0,0.0,0.0,0.0,17.31,1.38,0.0
20050702:0110,0.0,0.0,0.0,0.0,0.0,17.53,1.45,0.0
20050702:0210,0.0,0.0,0.0,0.0,0.0,17.52,1.38,0.0
20050702:0310,0.0,0.0,0.0,0.0,0.0,17.46,1.31,0.0
20050702:0410,1.25,0.0,8.53,0.29,12.64,17.4,0.76,0.0
20050702:0510,8.21,0.0,20.47,0.7,22.53,17.83,0.97,0.0
20050702:0610,35.06,0.0,56.28,1.93,32.73,18.59,1.38,0.0
20050702:0710,62.04,0.0,88.69,3.05,42.92,18.14,1.59,0.0
20050702:0810,61.92,0.0,88.69,3.05,52.58,18.48,1.45,0.0
20050702:0910,90.76,0.0,122.79,4.22,60.79,19.08,1.45,0.0
20050702:1010,95.84,0.0,128.76,4.42,65.7,19.3,1.72,0.0
20050702:1110,213.15,1.19,264.33,9.14,65.14,19.46,1.66,0.0
20050702:1210,247.73,5.21,300.93,10.75,59.42,19.57,2.07,0.0
20050702:1310,175.11,0.18,220.75,7.62,50.83,19.77,2.21,0.0
20050702:1410,199.84,0.0,249.02,9.4,41.02,19.77,2.14,0.0
20050702:1510,41.57,0.0,64.39,2.43,30.8,19.88,2.07,0.0
20050702:1610,26.02,0.0,44.99,1.7,20.63,20.01,1.38,0.0
20050702:1710,39.64,0.0,62.06,2.34,10.84,19.82,1.17,0.0
20050702:1810,3.68,0.0,13.19,0.5,1.75,19.26,1.17,0.0
20050702:1910,0.0,0.0,0.0,0.0,0.0,18.12,1.38,0.0
20050702:2010,0.0,0.0,0.0,0.0,0.0,17.56,1.38,0.0
20050702:2110,0.0,0.0,0.0,0.0,0.0,17.56,1.52,0.0
20050702:2210,0.0,0.0,0.0,0.0,0.0,17.28,1.93,0.0
20050702:2310,0.0,0.0,0.0,0.0,0.0,17.1,2.07,0.0
20050703:0010,0.0,0.0,0.0,0.0,0.0,16.9,2.28,0.0
20050703:0110,0.0,0.0,0.0,0.0,0.0,16.69,2.62,0.0
20050703:0210,0.0,0.0,0.0,0.0,0.0,16.49,2.76,0.0
20050703:0310,0.0,0.0,0.0,0.0,0.0,16.41,2.83,0.0
20050703:0410,1.27,0.0,8.53,0.29,12.56,16.45,2.76,0.0
20050703:0510,8.28,0.0,20.47,0.7,22.44,16.61,2.83,0.0
20050703:0610,26.53,0.0,45.2,1.55,32.65,16.91,2.9,0.0
20050703:0710,48.86,0.0,72.48,2.49,42.83,16.86,3.59,0.0
20050703:0810,116.77,0.0,150.94,5.18,52.49,17.05,4.07,0.0
20050703:0910,106.11,0.0,139.0,4.77,60.7,17.34,3.93,0.0
20050703:1010,204.63,0.78,250.74,8.64,65.62,17.63,3.86,0.0
20050703:1110,277.64,10.74,326.39,11.75,65.08,18.64,3.93,0.0
20050703:1210,218.98,1.6,269.21,9.37,59.38,19.93,3.93,0.0
20050703:1310,182.58,0.36,229.15,7.94,50.8,20.67,3.86,0.0
20050703:1410,136.13,0.0,175.32,6.62,40.99,20.81,3.79,0.0
20050703:1510,51.04,0.0,76.03,2.87,30.78,20.78,3.86,0.0
20050703:1610,62.84,0.0,89.99,3.4,20.61,20.35,3.38,0.0
20050703:1710,12.75,0.0,27.15,1.03,10.81,19.68,3.03,0.0
20050703:1810,0.0,0.0,2.33,0.09,1.71,18.63,2.69,0.0
20050703:1910,0.0,0.0,0.0,0.0,0.0,17.08,2.34,0.0
20050703:2010,0.0,0.0,0.0,0.0,0.0,16.18,2.28,0.0
20050703:2110,0.0,0.0,0.0,0.0,0.0,15.42,2.21,0.0
20050703:2210,0.0,0.0,0.0,0.0,0.0,14.66,2.07,0.0
20050703:2310,0.0,0.0,0.0,0.0,0.0,14.06,2.0,0.0
20050704:0010,0.0,0.0,0.0,0.0,0.0,13.66,1.93,0.0
20050704:0110,0.0,0.0,0.0,0.0,0.0,13.15,1.93,0.0
20050704:0210,0.0,0.0,0.0,0.0,0.0,12.77,1.93,0.0
20050704:0310,0.0,0.0,0.0,0.0,0.0,12.39,1.86,0.0
20050704:0410,141.65,103.78,73.86,2.69,12.47,12.94,0.0,0.0
20050704:0510,490.0,470.3,137.51,8.38,22.36,15.75,0.0,0.0
20050704:0610,603.31,582.4,173.34,13.12,32.56,18.44,1.24,0.0
20050704:0710,695.32,708.51,173.0,18.28,42.75,20.33,2.0,0.0
20050704:0810,721.72,753.61,162.02,22.67,52.4,21.59,2.48,0.0
20050704:0910,676.69,682.09,168.89,25.34,60.61,22.56,2.69,0.0
20050704:1010,590.76,564.56,170.93,26.68,65.53,23.03,2.48,0.0
20050704:1110,474.29,444.06,142.87,27.18,65.01,23.56,2.41,0.0
20050704:1210,325.66,235.49,178.23,24.63,59.33,23.73,2.48,0.0
20050704:1310,131.39,114.75,86.15,23.58,50.77,24.14,2.62,0.0
20050704:1410,198.83,0.0,252.13,9.52,40.97,23.95,2.69,0.0
20050704:1510,110.72,0.0,148.17,5.59,30.75,23.73,2.55,0.0
20050704:1610,69.52,0.0,99.3,3.75,20.58,23.45,2.21,0.0
20050704:1710,47.92,0.0,72.92,2.75,10.78,22.48,1.59,0.0
20050704:1810,7.92,0.0,20.17,0.76,1.67,20.91,1.72,0.0
20050704:1910,0.0,0.0,0.0,0.0,0.0,19.09,1.52,0.0
20050704:2010,0.0,0.0,0.0,0.0,0.0,17.25,1.66,0.0
20050704:2110,0.0,0.0,0.0,0.0,0.0,15.99,1.72,0.0
20050704:2210,0.0,0.0,0.0,0.0,0.0,14.93,1.72,0.0
20050704:2310,0.0,0.0,0.0,0.0,0.0,14.4,1.86,0.0
20050705:0010,0.0,0.0,0.0,0.0,0.0,14.26,2.0,0.0
20050705:0110,0.0,0.0,0.0,0.0,0.0,13.98,2.0,0.0
20050705:0210,0.0,0.0,0.0,0.0,0.0,13.73,2.0,0.0
20050705:0310,0.0,0.0,0.0,0.0,0.0,13.37,2.0,0.0
20050705:0410,73.61,41.03,59.35,2.11,12.38,14.04,1.66,0.0
20050705:0510,448.7,404.43,145.36,7.88,22.27,17.67,1.03,0.0
20050705:0610,574.71,549.09,180.83,12.8,32.47,20.5,0.83,0.0
20050705:0710,662.47,703.78,172.86,18.16,42.65,21.49,0.14,0.0
20050705:0810,675.18,728.26,171.42,22.29,52.31,22.52,0.14,0.0
20050705:0910,638.77,669.08,172.83,25.04,60.51,23.3,0.21,0.0
20050705:1010,558.88,529.72,194.86,26.13,65.43,23.77,0.14,0.0
20050705:1110,456.37,400.76,179.98,26.3,64.93,23.95,0.34,0.0
20050705:1210,330.24,68.23,354.65,17.69,59.28,24.37,0.41,0.0
20050705:1310,253.81,33.43,298.28,16.81,50.73,24.55,0.41,0.0
20050705:1410,163.98,0.0,213.34,8.05,40.94,24.75,0.62,0.0
20050705:1510,78.66,0.0,110.94,4.19,30.72,24.47,0.97,0.0
20050705:1610,58.26,0.0,86.11,3.25,20.55,24.04,0.97,0.0
20050705:1710,41.41,0.0,65.16,2.46,10.74,23.18,0.62,0.0
20050705:1810,6.33,0.0,17.84,0.67,1.63,23.19,0.14,0.0
20050705:1910,0.0,0.0,0.0,0.0,0.0,22.6,0.62,0.0
20050705:2010,0.0,0.0,0.0,0.0,0.0,20.35,1.17,0.0
20050705:2110,0.0,0.0,0.0,0.0,0.0,18.78,1.72,0.0
20050705:2210,0.0,0.0,0.0,0.0,0.0,18.33,1.66,0.0
20050705:2310,0.0,0.0,0.0,0.0,0.0,18.09,1.72,0.0
20050706:0010,0.0,0.0,0.0,0.0,0.0,17.55,1.38,0.0
20050706:0110,0.0,0.0,0.0,0.0,0.0,16.96,1.52,0.0
20050706:0210,0.0,0.0,0.0,0.0,0.0,16.63,1.31,0.0
20050706:0310,0.0,0.0,0.0,0.0,0.0,16.77,1.38,0.0
20050706:0410,12.97,0.0,27.29,0.94,12.28,16.91,1.38,0.0
20050706:0510,94.89,19.32,106.64,3.78,22.17,16.75,2.14,0.0
20050706:0610,105.56,3.64,134.41,4.66,32.38,16.17,2.0,0.0
20050706:0710,104.48,0.0,135.59,4.66,42.56,14.14,2.48,0.0
20050706:0810,103.1,0.0,133.88,4.6,52.21,14.14,3.17,0.0
20050706:0910,133.71,0.0,168.84,5.8,60.4,15.31,4.28,0.0
20050706:1010,388.67,74.61,384.76,15.82,65.33,16.28,5.31,0.0
20050706:1110,175.81,0.0,217.45,7.47,64.85,17.02,5.24,0.0
20050706:1210,345.8,57.41,358.83,16.96,59.22,17.85,5.03,0.0
20050706:1310,0.0,0.0,0.0,0.0,0.0,18.68,5.17,0.0
20050706:1410,192.55,0.0,238.16,8.99,40.9,19.17,4.76,0.0
20050706:1510,160.51,0.0,201.7,7.62,30.69,18.92,3.86,0.0
20050706:1610,98.84,0.0,131.11,4.95,20.51,18.44,2.83,0.0
20050706:1710,49.1,0.0,72.92,2.75,10.7,17.92,2.34,0.0
20050706:1810,5.6,0.0,16.29,0.62,1.58,17.08,2.07,0.0
20050706:1910,0.0,0.0,0.0,0.0,0.0,16.5,2.28,0.0
20050706:2010,0.0,0.0,0.0,0.0,0.0,16.21,2.34,0.0
20050706:2110,0.0,0.0,0.0,0.0,0.0,16.37,2.41,0.0
20050706:2210,0.0,0.0,0.0,0.0,0.0,16.37,2.28,0.0
20050706:2310,0.0,0.0,0.0,0.0,0.0,16.06,2.14,0.0
20050707:0010,0.0,0.0,0.0,0.0,0.0,15.59,2.07,0.0
20050707:0110,0.0,0.0,0.0,0.0,0.0,15.05,2.07,0.0
20050707:0210,0.0,0.0,0.0,0.0,0.0,14.78,2.0,0.0
20050707:0310,0.0,0.0,0.0,0.0,0.0,14.67,1.93,0.0
20050707:0410,1.29,0.0,8.53,0.29,12.18,14.72,1.93,0.0
20050707:0510,17.52,0.0,33.26,1.14,22.07,14.99,2.07,0.0
20050707:0610,97.45,1.83,126.46,4.36,32.28,15.43,2.55,0.0
20050707:0710,235.92,39.47,244.91,8.96,42.46,15.11,2.9,0.0
20050707:0810,339.93,82.58,323.05,12.65,52.11,15.72,2.83,0.0
20050707:0910,334.39,51.95,349.23,13.33,60.3,16.17,2.48,0.0
20050707:1010,209.19,0.79,256.71,8.85,65.22,17.05,2.14,0.0
20050707:1110,315.65,25.71,359.31,13.62,64.76,18.0,1.66,0.0
20050707:1210,112.11,0.0,147.52,5.07,59.15,18.7,1.1,0.0
20050707:1310,219.71,61.83,225.77,19.68,50.64,19.35,1.52,0.0
20050707:1410,192.69,0.0,241.26,9.11,40.86,19.48,1.24,0.0
20050707:1510,159.29,0.0,202.48,7.64,30.65,19.64,1.17,0.0
20050707:1610,85.25,0.0,116.37,4.39,20.47,19.55,0.97,0.0
20050707:1710,50.52,0.0,75.25,2.84,10.65,19.24,0.14,0.0
20050707:1810,6.52,0.0,17.84,0.67,1.52,18.4,0.69,0.0
20050707:1910,0.0,0.0,0.0,0.0,0.0,16.93,1.24,0.0
20050707:2010,0.0,0.0,0.0,0.0,0.0,15.32,1.52,0.0
20050707:2110,0.0,0.0,0.0,0.0,0.0,13.96,1.59,0.0
20050707:2210,0.0,0.0,0.0,0.0,0.0,12.95,1.52,0.0
20050707:2310,0.0,0.0,0.0,0.0,0.0,12.23,1.52,0.0
20050708:0010,0.0,0.0,0.0,0.0,0.0,11.6,1.59,0.0
20050708:0110,0.0,0.0,0.0,0.0,0.0,11.16,1.59,0.0
20050708:0210,0.0,0.0,0.0,0.0,0.0,10.83,1.66,0.0
20050708:0310,0.0,0.0,0.0,0.0,0.0,10.61,1.72,0.0
20050708:0410,64.32,34.3,54.5,1.93,12.08,11.49,1.38,0.0
20050708:0510,385.2,311.47,153.81,7.18,21.97,15.33,0.83,0.0
20050708:0610,590.64,571.18,173.19,12.86,32.18,18.31,0.76,0.0
20050708:0710,671.87,689.7,176.25,17.9,42.36,19.55,0.76,0.0
20050708:0810,681.72,714.27,175.78,22.0,52.0,20.9,0.55,0.0
20050708:0910,648.47,675.05,169.18,25.04,60.18,22.12,0.48,0.0
20050708:1010,564.96,538.1,186.89,26.13,65.11,23.2,0.48,0.0
20050708:1110,461.41,453.52,132.25,27.21,64.66,24.1,0.48,0.0
20050708:1210,305.19,297.53,101.58,26.36,59.08,24.85,0.41,0.0
20050708:1310,141.01,104.62,107.8,22.87,50.58,25.39,0.21,0.0
20050708:1410,79.94,0.0,113.26,4.28,40.81,25.65,0.21,0.0
20050708:1510,85.15,0.0,119.47,4.51,30.6,25.68,0.55,0.0
20050708:1610,54.08,0.0,81.46,3.08,20.42,25.25,0.76,0.0
20050708:1710,34.49,0.0,56.63,2.14,10.6,23.99,1.1,0.0
20050708:1810,6.86,0.0,18.62,0.7,1.46,22.27,1.31,0.0
20050708:1910,0.0,0.0,0.0,0.0,0.0,20.19,1.59,0.0
20050708:2010,0.0,0.0,0.0,0.0,0.0,18.85,1.59,0.0
20050708:2110,0.0,0.0,0.0,0.0,0.0,17.34,1.79,0.0
20050708:2210,0.0,0.0,0.0,0.0,0.0,16.41,1.86,0.0
20050708:2310,0.0,0.0,0.0,0.0,0.0,15.85,1.86,0.0
20050709:0010,0.0,0.0,0.0,0.0,0.0,15.46,1.93,0.0
20050709:0110,0.0,0.0,0.0,0.0,0.0,15.43,1.79,0.0
20050709:0210,0.0,0.0,0.0,0.0,0.0,15.27,1.59,0.0
20050709:0310,0.0,0.0,0.0,0.0,0.0,15.09,1.45,0.0
20050709:0410,0.88,0.0,7.67,0.26,11.97,15.57,1.24,0.0
20050709:0510,76.2,9.77,95.42,3.34,21.87,17.84,1.03,0.0
20050709:0610,382.93,247.76,225.1,10.05,32.08,20.45,1.1,0.0
20050709:0710,394.79,200.97,287.24,12.59,42.25,20.97,1.31,0.0
20050709:0810,105.95,0.0,142.41,4.89,51.89,21.5,0.34,0.0
20050709:0910,116.08,0.0,155.2,5.33,60.07,22.69,0.34,0.0
20050709:1010,329.4,47.24,366.54,14.23,64.99,23.39,1.03,0.0
20050709:1110,134.68,0.0,177.37,6.09,64.55,23.36,1.03,0.0
20050709:1210,305.62,31.72,355.5,14.76,59.0,23.63,0.83,0.0
20050709:1310,224.44,52.44,247.0,18.72,50.52,24.03,0.28,0.0
20050709:1410,180.16,0.0,232.73,8.79,40.76,24.22,0.28,0.0
20050709:1510,28.46,0.0,48.87,1.85,30.55,23.73,0.48,0.0
20050709:1610,81.63,0.0,113.26,4.28,20.36,22.09,1.31,0.0
20050709:1710,49.56,0.0,74.47,2.81,10.54,20.99,1.45,0.0
20050709:1810,4.1,0.0,13.96,0.53,1.39,20.3,1.1,0.0
20050709:1910,0.0,0.0,0.0,0.0,0.0,20.19,1.03,0.0
20050709:2010,0.0,0.0,0.0,0.0,0.0,19.1,1.17,0.0
20050709:2110,0.0,0.0,0.0,0.0,0.0,18.09,1.45,0.0
20050709:2210,0.0,0.0,0.0,0.0,0.0,17.64,0.69,0.0
20050709:2310,0.0,0.0,0.0,0.0,0.0,16.84,0.83,0.0
20050710:0010,0.0,0.0,0.0,0.0,0.0,16.35,1.03,0.0
20050710:0110,0.0,0.0,0.0,0.0,0.0,16.5,1.59,0.0
20050710:0210,0.0,0.0,0.0,0.0,0.0,16.57,1.79,0.0
20050710:0310,0.0,0.0,0.0,0.0,0.0,16.4,1.66,0.0
20050710:0410,0.87,0.0,7.67,0.26,11.86,16.63,1.66,0.0
20050710:0510,39.56,0.0,61.4,2.11,21.76,16.91,1.66,0.0
20050710:0610,328.21,174.79,221.47,9.17,31.97,17.04,1.72,0.0
20050710:0710,222.74,36.74,238.36,8.7,42.14,18.33,1.38,0.0
20050710:0810,130.54,0.0,168.84,5.8,51.78,18.71,1.24,0.0
20050710:0910,266.13,19.66,308.33,11.1,59.94,19.17,1.38,0.0
20050710:1010,479.37,251.35,353.11,20.97,64.86,19.66,0.0,0.0
20050710:1110,401.63,137.14,367.3,19.45,64.44,20.21,0.0,0.0
20050710:1210,322.13,228.79,178.87,24.11,58.91,21.29,1.38,0.0
20050710:1310,136.72,106.15,97.87,22.79,50.45,21.68,1.52,0.0
20050710:1410,89.15,0.0,121.8,4.6,40.7,21.55,1.59,0.0
20050710:1510,87.95,0.0,120.24,4.54,30.49,21.41,1.86,0.0
20050710:1610,70.93,0.0,100.07,3.78,20.3,20.97,1.31,0.0
20050710:1710,38.28,0.0,60.51,2.28,10.47,20.3,0.97,0.0
20050710:1810,6.47,0.0,17.84,0.67,1.32,19.79,0.9,0.0
20050710:1910,0.0,0.0,0.0,0.0,0.0,19.01,1.24,0.0
20050710:2010,0.0,0.0,0.0,0.0,0.0,17.89,0.97,0.0
20050710:2110,0.0,0.0,0.0,0.0,0.0,16.72,1.31,0.0
20050710:2210,0.0,0.0,0.0,0.0,0.0,15.7,1.45,0.0
20050710:2310,0.0,0.0,0.0,0.0,0.0,15.15,1.31,0.0
20050711:0010,0.0,0.0,0.0,0.0,0.0,14.75,1.31,0.0
20050711:0110,0.0,0.0,0.0,0.0,0.0,14.71,1.31,0.0
20050711:0210,0.0,0.0,0.0,0.0,0.0,14.45,1.38,0.0
20050711:0310,0.0,0.0,0.0,0.0,0.0,13.93,1.38,0.0
20050711:0410,5.06,0.0,15.35,0.53,11.74,15.04,1.03,0.0
20050711:0510,70.28,7.39,90.72,3.16,21.65,17.38,0.9,0.0
20050711:0610,175.19,40.59,180.86,6.59,31.86,19.57,0.76,0.0
20050711:0710,609.16,565.36,216.87,16.55,42.03,20.66,0.62,0.0
20050711:0810,633.12,588.43,230.54,20.47,51.66,21.67,0.69,0.0
20050711:0910,339.83,70.87,355.16,14.0,59.82,22.6,0.76,0.0
20050711:1010,128.79,0.0,170.55,5.86,64.73,23.53,0.97,0.0
20050711:1110,74.27,0.0,105.74,3.63,64.33,24.1,1.31,0.0
20050711:1210,53.17,0.0,80.16,2.75,58.82,24.34,1.72,0.0
20050711:1310,48.29,0.0,74.19,2.55,50.38,24.5,1.79,0.0
20050711:1410,47.09,0.0,72.15,2.72,40.63,23.36,1.72,0.0
20050711:1510,142.54,0.0,184.63,6.97,30.43,21.87,1.45,0.0
20050711:1610,34.88,0.0,56.63,2.14,20.24,21.88,1.17,0.0
20050711:1710,45.57,0.0,69.82,2.64,10.4,21.55,0.97,0.0
20050711:1810,0.0,0.0,2.33,0.09,1.24,20.83,1.38,0.0
20050711:1910,0.0,0.0,0.0,0.0,0.0,19.43,1.59,0.0
20050711:2010,0.0,0.0,0.0,0.0,0.0,18.52,1.66,0.0
20050711:2110,0.0,0.0,0.0,0.0,0.0,18.11,1.38,0.0
20050711:2210,0.0,0.0,0.0,0.0,0.0,17.71,1.31,0.0
20050711:2310,0.0,0.0,0.0,0.0,0.0,17.3,1.17,0.0
20050712:0010,0.0,0.0,0.0,0.0,0.0,17.04,1.03,0.0
20050712:0110,0.0,0.0,0.0,0.0,0.0,16.88,1.1,0.0
20050712:0210,0.0,0.0,0.0,0.0,0.0,16.74,1.31,0.0
20050712:0310,0.0,0.0,0.0,0.0,0.0,16.73,1.17,0.0
20050712:0410,2.11,0.0,10.23,0.35,11.62,16.79,1.24,0.0
20050712:0510,13.56,0.0,28.14,0.97,21.53,17.18,1.17,0.0
20050712:0610,59.26,0.0,85.27,2.93,31.75,17.56,0.97,0.0
20050712:0710,71.46,0.0,99.77,3.43,41.92,18.14,1.59,0.0
20050712:0810,103.58,0.0,137.29,4.72,51.54,18.42,1.59,0.0
20050712:0910,108.66,0.0,143.26,4.92,59.68,18.69,1.79,0.0
20050712:1010,113.77,0.0,149.23,5.13,64.59,18.84,1.93,0.0
20050712:1110,98.97,0.0,132.18,4.54,64.2,19.33,2.76,0.0
20050712:1210,104.11,0.0,138.14,4.74,58.72,19.45,2.97,0.0
20050712:1310,128.33,0.0,166.28,5.71,50.3,19.67,2.9,0.0
20050712:1410,64.48,0.0,91.54,3.46,40.56,19.23,3.03,0.0
20050712:1510,45.62,0.0,69.04,2.61,30.36,19.12,3.31,0.0
20050712:1610,53.46,0.0,78.35,2.96,20.17,18.84,3.24,0.0
20050712:1710,23.23,0.0,41.12,1.55,10.33,18.55,3.03,0.0
20050712:1810,2.85,0.0,11.64,0.44,1.15,17.95,2.76,0.0
20050712:1910,0.0,0.0,0.0,0.0,0.0,16.52,2.9,0.0
20050712:2010,0.0,0.0,0.0,0.0,0.0,16.23,2.83,0.0
20050712:2110,0.0,0.0,0.0,0.0,0.0,16.19,2.9,0.0
20050712:2210,0.0,0.0,0.0,0.0,0.0,16.12,2.83,0.0
20050712:2310,0.0,0.0,0.0,0.0,0.0,16.1,2.69,0.0
20050713:0010,0.0,0.0,0.0,0.0,0.0,16.02,2.62,0.0
20050713:0110,0.0,0.0,0.0,0.0,0.0,15.9,2.48,0.0
20050713:0210,0.0,0.0,0.0,0.0,0.0,15.75,2.34,0.0
20050713:0310,0.0,0.0,0.0,0.0,0.0,15.74,2.21,0.0
20050713:0410,0.88,0.0,7.67,0.26,11.5,15.75,2.14,0.0
20050713:0510,9.43,0.0,22.17,0.76,21.41,16.4,2.0,0.0
20050713:0610,104.32,3.71,133.58,4.63,31.63,17.4,2.28,0.0
20050713:0710,341.99,134.49,278.15,11.33,41.8,18.0,2.55,0.0
20050713:0810,412.96,161.71,335.41,14.53,51.41,18.33,3.17,0.0
20050713:0910,279.09,24.66,314.94,11.45,59.55,18.9,3.31,0.0
20050713:1010,456.3,172.15,379.2,19.01,64.45,19.4,3.52,0.0
20050713:1110,306.48,22.18,350.89,13.15,64.07,19.64,3.59,0.0
20050713:1210,332.31,50.5,356.18,16.31,58.62,20.21,3.79,0.0
20050713:1310,262.56,11.24,313.88,13.03,50.21,20.29,3.66,0.0
20050713:1410,145.74,0.0,186.19,7.03,40.48,20.43,3.52,0.0
20050713:1510,149.37,0.0,190.84,7.21,30.29,20.99,3.52,0.0
20050713:1610,98.42,0.0,131.88,4.98,20.09,20.79,3.1,0.0
20050713:1710,48.58,0.0,72.92,2.75,10.24,20.05,2.62,0.0
20050713:1810,4.14,0.0,13.96,0.53,1.06,18.91,2.34,0.0
20050713:1910,0.0,0.0,0.0,0.0,0.0,17.83,1.86,0.0
20050713:2010,0.0,0.0,0.0,0.0,0.0,16.75,1.79,0.0
20050713:2110,0.0,0.0,0.0,0.0,0.0,16.05,1.72,0.0
20050713:2210,0.0,0.0,0.0,0.0,0.0,15.5,1.72,0.0
20050713:2310,0.0,0.0,0.0,0.0,0.0,14.8,1.72,0.0
20050714:0010,0.0,0.0,0.0,0.0,0.0,14.4,1.59,0.0
20050714:0110,0.0,0.0,0.0,0.0,0.0,13.9,1.52,0.0
20050714:0210,0.0,0.0,0.0,0.0,0.0,13.65,1.45,0.0
20050714:0310,0.0,0.0,0.0,0.0,0.0,13.44,1.38,0.0
20050714:0410,7.27,0.0,18.76,0.64,11.38,13.82,1.1,0.0
20050714:0510,91.76,19.97,102.52,3.63,21.29,16.21,0.62,0.0
20050714:0610,234.7,89.3,201.65,7.7,31.51,18.27,0.14,0.0
20050714:0710,313.57,114.03,273.41,10.9,41.68,20.23,0.9,0.0
